Gene symbol,GS,RD,PU,YL,YR,CM,VS,PE,PM,PL
bZIP19,2.601138144,0.833572731,2.743989035,3.407470347,1.198079745,2.773423179,2.356651407,2.384257798,2.400414149,3.109445267
bZIP23,2.368865544,0.675989165,1.230996873,2.10243512,0.436315896,2.132726253,1.624009542,1.198989836,1.809172319,2.300489578
HMA2,0.373457715,0.100424245,0.348351482,0.769851278,1.628248717,0.487000777,0.336500021,0.913616797,0.856441893,1.143169381
NAS2,4.171924394,0.164207443,1.327133789,4.933843912,1.010739864,1.972735395,0.462170062,1.24760924,2.208198531,2.500233942
OsHMA3,0,0,0,0.104221725,0,0,0.14939953,0,2.083719699,0.560653903
OsZIP3,0.539964025,0.207955621,0.46629919,0.082439978,0,0.579512041,0.600616807,0.828003249,0.459727255,0
ZAT,0.785485865,0.090475225,1.175462042,1.877185352,0,1.06449424,1.041071284,0.995887202,1.52663067,1.073172681
ZIFL2,0,0,0,0,4.995400989,0,0,0,0,0.14963365
"ZIP3, ZIP5",0.61852397,1.558557293,0.087678135,0,3.142481703,0,0,0.070960189,0,0
BTS,2.463945668,0,3.705598515,5.927820397,2.969202888,3.929506995,3.922608621,2.749469239,4.443682897,4.569192094
FIT,0.602314222,1.528564948,0,0,4.592219167,0,0,0,0,0
FRD3,3.128258955,0,0,0,0,0.256767112,0,0.208579354,1.372039452,0.676315819
"IRT1, IRT2",0,0.432494972,0,0,2.027638354,0,0,0.051484531,2.763997742,1.470754659
Mfl1,1.850050197,0.528696,2.626195478,3.015517543,1.190621749,2.564908663,2.467295143,2.538371217,2.799641305,2.215540618
"NAS1, OsNAS2",0,0,0,0,4.897096241,0,0,0,0,0
OPT3,0.963385708,0.031637216,1.443548776,1.488569688,0.289373734,1.730923388,1.645805315,1.732787646,1.770894853,1.571299106
PYE,2.64019996,1.837307375,2.147919764,1.477928043,0.886402277,2.072459839,1.989234611,2.593008429,2.954618457,3.104095801
VIT1,1.894851624,2.949393101,1.091649924,1.126586606,0,0.33964061,1.985094922,0.545893883,0,0
"YSL1, OsYSL15",0.728583142,0.797856654,1.162674835,3.762550603,4.372447058,2.809828584,1.048484766,2.221070259,3.661569432,1.81859859
YSL3,0.384079315,0.091633245,0.254123053,0.072211633,0.184553982,0.251434512,0.123500731,0.636161742,0.446411041,0.432379249
ZIP5,0.061320945,2.150804879,0.150878147,0,1.808829321,0.042324285,0.312401383,0.390980202,0.22139718,0.106539311
OsYSL2,0.095627049,0.157669189,0.108527379,0,0,0.088099538,0.240649471,0.036564955,0.616521662,0.155477988
